Ref,Val,Package,PosX,PosY,Rot,Side
"C301","100n","C_0603_1608Metric",3.6250,22.7500,0.0000,top
"C302","1u","C_0603_1608Metric",3.6250,21.1500,180.0000,top
"C303","10n","C_0603_1608Metric",24.2750,22.0000,0.0000,top
"C401","10n","C_0603_1608Metric",20.5000,7.5750,90.0000,top
"C402","10n","C_0603_1608Metric",29.5000,7.5750,90.0000,top
"C403","100n","C_0603_1608Metric",28.0000,13.0000,90.0000,top
"C501","10n","C_0603_1608Metric",4.7250,9.5500,180.0000,top
"C502","1u","C_0603_1608Metric",15.2600,8.3650,0.0000,top
"C503","4.7u","C_0603_1608Metric",18.0000,10.7750,90.0000,top
"C504","1u","C_0603_1608Metric",16.4750,16.5000,180.0000,top
"C505","100n","C_0603_1608Metric",13.0000,13.0000,90.0000,top
"C601","100n","C_0603_1608Metric",43.0000,13.0000,90.0000,top
"C701","100n","C_0603_1608Metric",28.2250,32.5000,0.0000,top
"D201","D3Z10BF-7","D_SOD-323",16.5000,44.8429,90.0000,top
"D301","MM3Z5V6","D_SOD-323",6.3750,25.7000,90.0000,top
"D501","1N4148WS","D_SOD-323",3.7500,12.0000,90.0000,top
"D502","1N4148WS","D_SOD-323",16.2500,10.8000,90.0000,top
"D701","D3Z10BF-7","D_SOD-323",31.5000,25.7000,-90.0000,top
"D801","LED","LED_0805_2012Metric",20.0625,2.5000,180.0000,top
"D802","LED","LED_0805_2012Metric",30.5000,2.4393,180.0000,top
"FID901","FIDUCIAL","Fiducial_1mm_Mask2mm",2.0000,43.0000,0.0000,top
"FID902","FIDUCIAL","Fiducial_1mm_Mask2mm",2.0000,7.0000,0.0000,top
"FID903","FIDUCIAL","Fiducial_1mm_Mask2mm",48.0000,7.0000,0.0000,top
"ID901","BOARD_STACKUP_MARKER","STACKUP_ID_2L",41.0000,3.0000,0.0000,top
"J101","KLDX-0202-B","BarrelJack_Kycon_KLDX-0202-xC_Horizontal",35.3000,34.5000,180.0000,top
"J102","EBWA-02-B","TerminalBlock_Phoenix_MKDS-1-2-3.81_1x02_P3.81mm_Horizontal",41.6844,45.4000,180.0000,top
"J103","EBWA-02-B","TerminalBlock_Phoenix_MKDS-1-2-3.81_1x02_P3.81mm_Horizontal",12.1844,45.4000,180.0000,top
"J104","KLDX-0202-B","BarrelJack_Kycon_KLDX-0202-xC_Horizontal",14.7000,34.5000,0.0000,top
"Q201","MCU18P10Y-TP","DPAK_MCC",26.1435,43.5789,-90.0000,top
"Q301","BC846","SOT-23",10.3125,22.0000,0.0000,top
"Q501","BC856","SOT-23",20.0000,14.2500,0.0000,top
"Q701","BC846","SOT-23",35.9375,24.6500,180.0000,top
"Q702","MCU18P10Y-TP","DPAK_MCC",21.8565,27.0444,90.0000,top
"Q801","BC856","SOT-23",13.0000,2.5000,0.0000,top
"Q802","BC846","SOT-23",34.4375,2.4393,180.0000,top
"R201","100k","R_0603_1608Metric",18.5000,46.6179,90.0000,top
"R202","100k","R_0603_1608Metric",18.5000,42.7929,-90.0000,top
"R301","12.1k","R_1206_3216Metric",10.4125,24.9500,0.0000,top
"R302","100k","R_0603_1608Metric",7.3750,21.9500,-90.0000,top
"R303","33.2k","R_0603_1608Metric",21.0000,22.0000,180.0000,top
"R304","332k","R_0603_1608Metric",26.0000,20.5000,0.0000,top
"R305","49.9k","R_0603_1608Metric",26.0000,19.0000,0.0000,top
"R306","121k","R_0603_1608Metric",26.0000,17.5000,180.0000,top
"R401","22.1k","R_0603_1608Metric",18.8250,18.7500,180.0000,top
"R402","200k","R_0603_1608Metric",18.0000,21.1750,90.0000,top
"R403","1k","R_0603_1608Metric",23.7500,14.7500,90.0000,top
"R404","1k","R_0603_1608Metric",26.2500,14.7500,90.0000,top
"R405","10k","R_0603_1608Metric",29.5000,10.5750,90.0000,top
"R406","100k","R_0603_1608Metric",31.0000,9.0000,90.0000,top
"R501","357k","R_0603_1608Metric",8.3500,16.0000,180.0000,top
"R502","121k","R_0603_1608Metric",10.0000,14.5000,180.0000,top
"R503","30.1k","R_0603_1608Metric",11.6500,16.0250,180.0000,top
"R504","1k","R_0603_1608Metric",8.4250,5.4000,0.0000,top
"R505","49.9k","R_0603_1608Metric",11.8000,5.4000,180.0000,top
"R506","10k","R_0603_1608Metric",5.5000,11.8250,90.0000,top
"R507","10k","R_0603_1608Metric",14.5000,10.5750,90.0000,top
"R508","432k","R_0603_1608Metric",3.7500,15.2500,90.0000,top
"R509","100k","R_0603_1608Metric",15.6000,6.7500,0.0000,top
"R510","1k","R_0603_1608Metric",18.0000,7.6750,90.0000,top
"R511","100k","R_0603_1608Metric",17.2500,14.2500,90.0000,top
"R601","18.2k","R_0603_1608Metric",35.5000,12.2500,90.0000,top
"R602","33.2k","R_0603_1608Metric",35.5000,8.9250,90.0000,top
"R603","10k","R_0603_1608Metric",36.1750,18.5000,180.0000,top
"R701","20m","R_2512_6332Metric",24.0000,35.2929,-90.0000,top
"R702","10k","R_0603_1608Metric",38.5000,21.1750,-90.0000,top
"R703","100k","R_0603_1608Metric",36.0000,22.0000,0.0000,top
"R704","100k","R_0603_1608Metric",29.5000,27.6750,-90.0000,top
"R705","15k","R_0603_1608Metric",30.5000,35.5000,90.0000,top
"R801","2.49k","R_0603_1608Metric",16.5625,2.5000,0.0000,top
"R802","2.49k","R_0603_1608Metric",27.0000,2.4393,0.0000,top
"U301","LM4040N-5.0","SOT-23",22.5500,19.0625,-90.0000,top
"U401","LM393","SOIC-8_3.9x4.9mm_P1.27mm",25.0000,9.0000,0.0000,top
"U501","LM393","SOIC-8_3.9x4.9mm_P1.27mm",10.0000,9.0000,0.0000,top
"U601","LM393","SOIC-8_3.9x4.9mm_P1.27mm",40.0000,9.0000,0.0000,top
"U701","INA169NA/3K","SOT-23-5",28.0000,35.2929,-90.0000,top
